Altium Designer Pick and Place Locations
D:\Radio\Jobe\PWR_Switch_ETH\PCB\control_PWR_PCB\Project Outputs for control_PWR_PCB\Pick Place\Pick Place for control_PWR_PCB.csv

========================================================================================================================
File Design Information:

Date:       10.08.23
Time:       14:07
Revision:   212c6c857b912292d738243e22499187a32923a1
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R52","0603 33R","TopLayer","61.0000mm","88.0500mm","90","Resistor"
"R51","0603 33R","TopLayer","62.8572mm","88.0500mm","90","Resistor"
"D4","B340A-13","TopLayer","52.4500mm","9.1500mm","270","Diode Schottky 40 V 3A Surface Mount SMA"
"IC2","LAN8742A-CZ-TR","TopLayer","11.0800mm","78.0250mm","270",""
"R48","0603 NC","TopLayer","43.8000mm","56.6750mm","90","Resistor"
"R47","0603 0","TopLayer","42.1750mm","56.6750mm","90","Resistor"
"R46","0603 NC","TopLayer","37.1500mm","56.6750mm","90","Resistor"
"R45","0603 0","TopLayer","35.5000mm","56.6750mm","90","Resistor"
"DG1","15EDGVC-3.5-2P","TopLayer","62.7750mm","6.5370mm","270",""
"DG2","15EDGVC-3.5-2P","TopLayer","23.7000mm","6.5735mm","270",""
"C36","EEEFK1V471SV","TopLayer","52.1000mm","69.3750mm","180","470µF 35V Aluminum Electrolytic Capacitors Radial, Can - SMD 80mOhm @ 100kHz 2000 Hrs @ 105∞C"
"C35","EEEFK1V471SV","TopLayer","48.6750mm","41.7250mm","90","470µF 35V Aluminum Electrolytic Capacitors Radial, Can - SMD 80mOhm @ 100kHz 2000 Hrs @ 105∞C"
"VD6","0805 Green","TopLayer","41.1248mm","85.2000mm","270","0805 Green"
"VD5","0805 Green","TopLayer","36.6750mm","85.2000mm","270","0805 Green"
"T1","B78476A8065A003","TopLayer","28.0750mm","82.2498mm","90","Magnetics Modules for LAN Application, 10/100 Base-T Magnetics Module, 1 Port, 0 to 70 degC, 16-Pin SMD, RoHS, Tape and Reel"
"R44","0603 1,5k","TopLayer","11.5000mm","84.6250mm","270","Resistor"
"R43","0603 1,5k","TopLayer","9.9250mm","84.6250mm","270","Resistor"
"R42","0603 220 Om","TopLayer","43.2750mm","84.5750mm","270","Resistor"
"R41","0603 33R","TopLayer","8.9000mm","70.9000mm","90","Resistor"
"R40","0603 75R","TopLayer","19.1500mm","87.7000mm","90","Resistor"
"R18","0603 4.7k","TopLayer","55.1500mm","88.0500mm","270","Resistor"
"R17","0603 0","TopLayer","66.1250mm","84.2750mm","270","Resistor"
"C34","0603 18 pF","TopLayer","7.0250mm","81.6750mm","360","Ceramic Capacitor SMD C0603"
"XP4","PLS-3 2.54","TopLayer","38.1850mm","4.6250mm","180","Connector, 3-Pin"
"R16","0603 10k","TopLayer","41.2000mm","14.0500mm","180","Resistor"
"R15","0603 10k","TopLayer","41.2000mm","11.4750mm","180","Resistor"
"R14","0603 NC","BottomLayer","66.8250mm","82.4750mm","270","Resistor"
"R13","0603 0","TopLayer","27.0000mm","14.1500mm","180","Resistor"
"R12","0603 120R","TopLayer","44.3250mm","4.9000mm","90","Resistor"
"R11","0603 0","TopLayer","26.9750mm","12.6500mm","180","Resistor"
"ISO1","ISO7341","TopLayer","21.9500mm","26.4250mm","270","Digital isolator"
"DD2","NSO8 MAX485","TopLayer","35.3750mm","13.4600mm","180","Low-Power, Slew-Rate-Limited RS-485/RS-422 Transceiver"
"D3","SM712","TopLayer","20.9500mm","13.2000mm","360","Asymmetrical TVS Diode for Extended Common-Mode RS-485"
"D2","AM1DS-0505SJZ","TopLayer","39.2750mm","30.0650mm","270","DC-DC 5V"
"C33","0603 0.1uF","TopLayer","39.0682mm","8.9318mm","360","Ceramic Capacitor SMD"
"C32","0603 0.1uF","TopLayer","28.6500mm","21.9500mm","90","Ceramic Capacitor SMD"
"C31","0603 0.1uF","TopLayer","28.5000mm","32.0750mm","90","Ceramic Capacitor SMD"
"C3","1812 4.7 uF","TopLayer","31.7750mm","22.1250mm","270","Ceramic Capacitor SMD"
"R39","0603 510R","TopLayer","23.8250mm","57.8250mm","180","Resistor"
"X5","25Mhz","TopLayer","6.4750mm","84.8250mm","90","3.3_2.5 25Mhz"
"X4","12Mhz","TopLayer","16.4500mm","62.2500mm","270","3.3_2.5 12Mhz"
"X3","PLS-5 2.54","TopLayer","29.8750mm","62.4500mm","270","Header, 5-Pin"
"R10","0603 1k","TopLayer","68.1750mm","39.3250mm","270","Resistor"
"R9","0603 3k","TopLayer","68.1750mm","42.8750mm","90","Resistor"
"C1","10x13 NC","TopLayer","48.7000mm","29.7250mm","180","Polarized Capacitor (Rad)"
"XP3","NC","TopLayer","9.3750mm","31.4250mm","180","Ter120"
"C20","0603 0.1uF","TopLayer","5.2750mm","74.9750mm","180","Ceramic Capacitor SMD"
"X2","PLD-10R","TopLayer","8.7300mm","98.6200mm","90","Header, 5-Pin, Dual row"
"XP2","PLS-3 2.54","TopLayer","37.7500mm","69.7250mm","180","Ter120"
"XP1","NC","TopLayer","37.7500mm","64.6750mm","180",""
"X1","PBD-10R","TopLayer","62.6200mm","98.6200mm","270","Header, 5-Pin, Dual row"
"VR1","LM1117MPX-3.3","TopLayer","55.8500mm","81.8750mm","180","800-mA 3.3-V linear voltage regulator"
"VD4","0805 Green","TopLayer","2.2750mm","5.5250mm","90","0805 Green"
"VD3","0805 Green","TopLayer","8.9250mm","5.5250mm","90","0805 Green"
"VD2","0805 Green","TopLayer","5.6000mm","5.5250mm","90","0805 Green"
"VD1","0805 Green","TopLayer","64.3750mm","14.9250mm","360","0805 Green"
"U1","STM32F407VE","TopLayer","14.6250mm","48.0500mm","270","STM32F407VE Microcontroller IC 32-Bit 100-LQFP (14x14)"
"S2","SW-DIP4","TopLayer","51.6500mm","98.5500mm","90","DIP Switch"
"S1","SW-DIP4","TopLayer","40.0300mm","98.5500mm","90","DIP Switch"
"R38","0603 75R","TopLayer","17.5500mm","87.7000mm","90","Resistor"
"R37","0603 75R","TopLayer","19.1500mm","84.7250mm","270","Resistor"
"R36","0603 75R","TopLayer","17.5250mm","84.7250mm","270","Resistor"
"R35","0603 220 Om","TopLayer","38.8252mm","84.5750mm","270","Resistor"
"R34","0603 12.1k","TopLayer","21.6500mm","72.5500mm","360","Resistor"
"R33","0603 33R","TopLayer","6.1500mm","70.9000mm","90","Resistor"
"R32","0603 10k","TopLayer","4.5500mm","70.8500mm","90","Resistor"
"R31","0603 33R","TopLayer","5.4000mm","78.1500mm","360","Resistor"
"R30","0603 33R","TopLayer","5.3750mm","76.6000mm","360","Resistor"
"R29","0603 50R","TopLayer","16.3000mm","73.7500mm","90","Resistor"
"R28","0603 50R","TopLayer","16.3000mm","70.9250mm","270","Resistor"
"R27","0603 50R","TopLayer","16.3000mm","79.6250mm","90","Resistor"
"R26","0603 50R","TopLayer","16.3000mm","76.8000mm","270","Resistor"
"R25","0603 4.7k","TopLayer","53.4500mm","88.0750mm","270","Resistor"
"R24","0603 3K","TopLayer","2.3498mm","9.8500mm","270","Resistor"
"R23","0603 0","TopLayer","39.1750mm","61.7000mm","180","Resistor"
"R22","0603 3K","TopLayer","8.8498mm","9.8500mm","270","Resistor"
"R21","0603 3K","TopLayer","5.6747mm","9.8500mm","270","Resistor"
"R20","0603 510R","TopLayer","25.8000mm","52.3750mm","180","Resistor"
"R19","0603 10K","TopLayer","60.3750mm","14.8502mm","180","Resistor"
"R8","0402 10K","TopLayer","55.5750mm","104.2000mm","360","Resistor"
"R7","0402 10K","TopLayer","52.8000mm","104.2000mm","360","Resistor"
"R6","0402 10K","TopLayer","50.0250mm","104.2000mm","360","Resistor"
"R5","0402 10K","TopLayer","47.2500mm","104.2000mm","360","Resistor"
"R4","0402 10K","TopLayer","44.4750mm","104.2000mm","360","Resistor"
"R3","0402 10K","TopLayer","41.7000mm","104.2000mm","360","Resistor"
"R2","0402 10K","TopLayer","38.9250mm","104.2000mm","360","Resistor"
"R1","0402 10K","TopLayer","36.1500mm","104.2000mm","360","Resistor"
"L1","SRR1208-680Y","TopLayer","60.5000mm","56.6000mm","360","68µH Shielded Wirewound Inductor 1.8A 18mOhm Max Nonstandard"
"J1","5520259-4","TopLayer","24.1250mm","95.9300mm","180","Jack Modular Connector 8p8c _RJ45, Ethernet_ Vertical Unshielded Cat3"
"IC1","25Q16 or 25Q32","TopLayer","29.9750mm","45.6750mm","270","Serial Flash Memory with uniform 4KB sectors and Dual/Quad SPI and QPI"
"DD1","LM2596S-ADJ","TopLayer","60.9500mm","35.3500mm","270","SIMPLE SWITCHERÆ Power Converter 150 KHz 3A Step-Down Voltage Regulator, 5-pin TO-263"
"D1","MBRS540T3G","TopLayer","60.4750mm","46.0750mm","180","Diode Schottky 40V 5A Surface Mount SMC"
"C30","0805 2.2uF","TopLayer","4.2000mm","41.3750mm","90","Ceramic Capacitor SMD"
"C29","0603 18 pF","TopLayer","6.0500mm","88.0000mm","180","Ceramic Capacitor SMD C0603"
"C28","0603 0.1uF","TopLayer","6.7000mm","60.6500mm","90","Ceramic Capacitor SMD"
"C27","0603 0.1uF","TopLayer","5.1000mm","37.9500mm","180","Ceramic Capacitor SMD"
"C26","TECAP B 10u 16V","TopLayer","11.6250mm","66.6000mm","270","Solid Tantalum Surface Mount Capacitors"
"C25","0603 1uF","TopLayer","2.7000mm","81.8000mm","180","Ceramic Capacitor SMD"
"C24","0603 0.1uF","TopLayer","3.4750mm","79.8500mm","180","Ceramic Capacitor SMD"
"C23","1206 1000p 2kv","TopLayer","12.1000mm","87.7750mm","180","Ceramic Capacitor SMD"
"C22","0603 0.1uF","TopLayer","12.9575mm","70.7675mm","180","Ceramic Capacitor SMD"
"C21","0603 0.1uF","TopLayer","13.8750mm","84.0500mm","270","Ceramic Capacitor SMD"
"C19","0603 0.1uF","TopLayer","12.4750mm","60.7000mm","270","Ceramic Capacitor SMD"
"C18","0603 0.1uF","TopLayer","10.7750mm","60.6750mm","270","Ceramic Capacitor SMD"
"C17","0603 18 Ô‘","TopLayer","15.7694mm","65.3250mm","180","Ceramic Capacitor SMD 0603"
"C16","0603 0.1uF","TopLayer","19.7250mm","61.9250mm","270","Ceramic Capacitor SMD"
"C15","0603 18 Ô‘","TopLayer","17.2500mm","59.1500mm","180","Ceramic Capacitor SMD 0603"
"C14","0603 0.1uF","TopLayer","22.9000mm","62.1250mm","270","Ceramic Capacitor SMD"
"C13","0603 0.1uF","TopLayer","20.3750mm","70.2000mm","360","Ceramic Capacitor SMD C0603"
"C12","0603 0.1uF","TopLayer","18.2500mm","80.4000mm","270","Ceramic Capacitor SMD C0603"
"C11","0805 2.2uF","TopLayer","21.0500mm","37.9000mm","0","Ceramic Capacitor SMD"
"C10","0603 0.1uF","TopLayer","24.5750mm","38.2250mm","270","Ceramic Capacitor SMD"
"C9","TECAP B 10u 16V","TopLayer","42.4750mm","78.4750mm","270","Solid Tantalum Surface Mount Capacitors"
"C8","0603 0.1uF","TopLayer","20.4000mm","79.1500mm","270","Ceramic Capacitor SMD"
"C7","0603 0.1uF","TopLayer","25.7250mm","54.0500mm","360","Ceramic Capacitor SMD"
"C6","0603 0.1uF","TopLayer","35.9250mm","79.1500mm","270","Ceramic Capacitor SMD"
"C5","0603 0.1uF","TopLayer","34.1500mm","44.6500mm","90","Ceramic Capacitor SMD"
"C4","10x13 NC","TopLayer","64.3000mm","69.5000mm","270","Polarized Capacitor (Rad)"
"C2","1812 4.7 uF","TopLayer","48.9500mm","80.3000mm","90","Ceramic Capacitor SMD"
