Altium Designer Pick and Place Locations
D:\Radio\Jobe\PWR_Switch_ETH\PCB\control_PWR_PCB\Project Outputs for control_PWR_PCB\Pick Place\Pick Place for control_PWR_PCB.txt

========================================================================================================================
File Design Information:

Date:       31.07.23
Time:       13:36
Revision:   2624e4c7ec2e704d2beb3a76795be312e54c785c
Variant:    No variations
Units used: mm

Designator Comment           Layer       Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                    
DG2        15EDGVC-3.5-2P    TopLayer    23.4750mm    7.5360mm     90       ""                                                                                                                             
C36        EEEFK1V471SV      TopLayer    52.1000mm    69.3750mm    180      "470AµF 35V Aluminum Electrolytic Capacitors Radial, Can - SMD 80mOhm @ 100kHz 2000 Hrs @ 105A°C"                              
C35        EEEFK1V471SV      TopLayer    48.6750mm    41.7250mm    90       "470AµF 35V Aluminum Electrolytic Capacitors Radial, Can - SMD 80mOhm @ 100kHz 2000 Hrs @ 105A°C"                              
VD6        ""                TopLayer    43.7500mm    89.3500mm    360      ""                                                                                                                             
VD5        ""                TopLayer    36.2500mm    89.3000mm    360      ""                                                                                                                             
T1         B78476A8065A003   TopLayer    28.0750mm    82.2498mm    90       "Magnetics Modules for LAN Application, 10/100 Base-T Magnetics Module, 1 Port, 0 to 70 degC, 16-Pin SMD, RoHS, Tape and Reel" 
R44        "0603 1,5k"       TopLayer    11.5000mm    84.6250mm    270      Резистор                                                                                                                       
R43        "0603 1,5k"       TopLayer    9.9250mm     84.6250mm    270      Резистор                                                                                                                       
R42        "0603 220 Ом"     TopLayer    44.1750mm    87.4000mm    360      "Резистор SMD R0603"                                                                                                           
R41        "0603 33R"        TopLayer    8.9000mm     70.9000mm    90       Резистор                                                                                                                       
R40        "0603 75R"        TopLayer    19.1500mm    87.7000mm    90       Резистор                                                                                                                       
R18        4.7k              TopLayer    43.4750mm    59.2500mm    360      Resistor                                                                                                                       
R17        NC                TopLayer    59.7000mm    89.1500mm    270      Resistor                                                                                                                       
C34        "0603 18 пФ"      TopLayer    7.0250mm     81.6750mm    360      "Керамическтй конденсатор SMD C0603"                                                                                           
XP4        PLS-3             TopLayer    38.1850mm    4.6250mm     180      "Connector, 3-Pin"                                                                                                             
R16        10k               TopLayer    41.2000mm    14.0500mm    180      Resistor                                                                                                                       
R15        10k               TopLayer    41.2000mm    11.4750mm    180      Resistor                                                                                                                       
R14        NC                BottomLayer 66.8250mm    82.4750mm    270      Resistor                                                                                                                       
R13        0                 TopLayer    27.0000mm    14.1500mm    180      Resistor                                                                                                                       
R12        120R              TopLayer    44.3250mm    4.9000mm     90       Resistor                                                                                                                       
R11        0                 TopLayer    26.9750mm    12.6500mm    180      Resistor                                                                                                                       
ISO1       ISO7241           TopLayer    21.9500mm    26.4250mm    270      ""                                                                                                                             
DG1        15EDGVC-3.5-2P    TopLayer    62.7750mm    7.6230mm     90       ""                                                                                                                             
DD2        MAX485            TopLayer    35.3750mm    13.4600mm    180      "Low-Power, Slew-Rate-Limited RS-485/RS-422 Transceiver"                                                                       
D3         SM712             TopLayer    20.9500mm    13.2000mm    360      "Asymmetrical TVS Diode for Extended Common-Mode RS-485"                                                                       
D2         AM1DS-0505SJZ     TopLayer    39.2750mm    30.0650mm    270      ""                                                                                                                             
C33        0.1uF             TopLayer    39.0500mm    8.9500mm     180      ""                                                                                                                             
C32        0.1uF             TopLayer    28.6500mm    21.9500mm    270      ""                                                                                                                             
C31        0.1uF             TopLayer    28.5000mm    32.0750mm    90       ""                                                                                                                             
C3         "Cap C"           TopLayer    31.7750mm    22.1250mm    270      "Ceramic Capacitor"                                                                                                            
R39        510R              TopLayer    23.8250mm    57.8250mm    180      Resistor                                                                                                                       
X5         25Mhz             TopLayer    6.4750mm     84.8250mm    90       ""                                                                                                                             
X4         12Mhz             TopLayer    16.4500mm    62.2500mm    270      ""                                                                                                                             
X3         PLS-5             TopLayer    29.8750mm    62.4500mm    270      "Header, 5-Pin"                                                                                                                
R10        "0603 1k"         TopLayer    68.1750mm    39.3250mm    270      ""                                                                                                                             
R9         "0603 3k"         TopLayer    68.1750mm    42.8750mm    90       ""                                                                                                                             
C1         "220uF 50v"       TopLayer    48.7000mm    29.7250mm    180      "Polarized Capacitor (Rad)"                                                                                                    
XP3        UART              TopLayer    9.3750mm     31.4250mm    180      Ter120                                                                                                                         
C20        "0603 0.1uF"      TopLayer    5.2750mm     74.9750mm    180      ""                                                                                                                             
X2         PLD-10R           TopLayer    9.5800mm     98.6200mm    90       "Header, 5-Pin, Dual row"                                                                                                      
XP2        "reset setings"   TopLayer    37.7500mm    69.7250mm    180      Ter120                                                                                                                         
XP1        Battery           TopLayer    36.7000mm    52.5500mm    90       ""                                                                                                                             
X1         PBD-10R           TopLayer    62.6200mm    98.6200mm    270      "Header, 5-Pin, Dual row"                                                                                                      
VR1        LM1117MPX-3.3     TopLayer    55.8500mm    81.8750mm    180      "800-mA 15-V linear voltage regulator"                                                                                         
VD4        ""                TopLayer    2.2750mm     5.5250mm     90       ""                                                                                                                             
VD3        ""                TopLayer    8.9250mm     5.5250mm     90       ""                                                                                                                             
VD2        ""                TopLayer    5.6000mm     5.5250mm     90       ""                                                                                                                             
VD1        ""                TopLayer    51.6250mm    7.0000mm     90       ""                                                                                                                             
